time,ID,USD,USD,time,generation,color,is_fancy,is_exclusive,fancy_type,is_prestige,prestige_type,prestige_ranking,fancy_ranking,prestige_time_limit,enhanced_cattributes_eyes,enhanced_cattributes_pattern,enhanced_cattributes_body,enhanced_cattributes_mouth,enhanced_cattributes_colorprimary,enhanced_cattributes_colorsecondary,enhanced_cattributes_colortertiary,enhanced_cattributes_coloreyes,status_cooldown_index,status_is_ready,status_is_gestating,purrs_count,purrs_is_purred
sizzurp,1489951,5,5,sizzurp,False,False,,False,,,,,cymric,soserious,spangled,stunned,oldlace,coffee,cashewmilk,sizzurp,4,True,False,1,False,0,False
kaleidoscope,1506508,100,100,kaleidoscope,False,False,,False,,,,,munchkin,wonky,wasntme,arcreactor,kaleidoscope,cinderella,lemonade,peach,13,True,False,0,False,0,False
coralsunrise,654136,2,2,coralsunrise,False,False,,False,,,,,crazy,totesbasic,soserious,birman,coralsunrise,shadowgrey,chocolate,purplehaze,2,True,False,1,False,0,False
strawberry,468190,4,4,strawberry,True,False,Dracula,False,,,1157,,,,,,,,,,13,True,False,1,False,0,False
olive,1073633,2,2,olive,False,False,,False,,,,,olive,thicccbrowz,totesbasic,soserious,ragdoll,cyborg,brownies,icy,1,True,False,1,False,0,False
chestnut,1498028,5,5,chestnut,False,False,,False,,,,,totesbasic,happygokitty,birman,wiley,hyacinth,juju,swampgreen,shale,2,True,False,2,False,0,False
dahlia,1497697,5,5,dahlia,False,False,,False,,,,,calicool,pouty,ragdoll,caffeine,unicorn,juju,greymatter,swampgreen,2,True,False,0,False,0,False
chestnut,1011193,3,3,chestnut,False,False,,False,,,,,totesbasic,happygokitty,birman,swarley,unicorn,greymatter,royalpurple,frosting,1,True,False,0,False,0,False
doridnudibranch,1225107,4,4,doridnudibranch,False,False,,False,,,,,happygokitty,amur,slyboots,alicorn,pixiebob,shadowgrey,lemonade,kalahari,2,True,False,2,False,0,False
kaleidoscope,1477134,11,11,kaleidoscope,True,False,Page,False,,,2897,,,,,,,,,,5,True,False,0,False,0,False
thundergrey,1497505,6,6,thundergrey,False,False,,False,,,,,chantilly,wiley,rorschach,hyacinth,fangtastic,coffee,purplehaze,thundergrey,3,True,False,0,False,0,False
palejade,1499181,3,3,palejade,False,False,,False,,,,,ganado,savannah,asif,foghornpawhorn,fangtastic,greymatter,padparadscha,shale,1,True,False,0,False,0,False
thundergrey,1426917,7,7,thundergrey,False,False,,False,,,,,spock,stunned,savannah,wuvme,cottoncandy,chocolate,morningglory,thundergrey,4,True,False,0,False,0,False
cyan,1364360,1,1,cyan,False,False,,False,,,,,confuzzled,vigilante,asif,siberian,cottoncandy,coffee,icy,cyan,0,True,False,1,False,0,False
dahlia,1496632,4,4,dahlia,False,False,,False,,,,,pouty,chantilly,wiley,rorschach,unicorn,bananacream,skyblue,kalahari,2,True,False,1,False,0,False
olive,1296012,10,10,olive,False,False,,True,holidaycheer,391,,2019-01-08T08:00:00Z,olive,beard,amur,elk,asif,bobtail,cottoncandy,royalpurple,5,True,False,4,False,0,False
gold,1488329,24,24,gold,False,False,,False,,,,,pouty,ragdoll,caffeine,rorschach,bananacream,scarlet,cashewmilk,gold,12,True,False,1,False,0,False
thundergrey,1427868,7,7,thundergrey,False,False,,False,,,,,selkirk,happygokitty,amur,wiley,brownies,egyptiankohl,daffodil,thundergrey,4,True,False,0,False,0,False
strawberry,1347629,4,4,strawberry,False,False,,False,,,,,selkirk,confuzzled,slyboots,leopard,nachocheez,coffee,belleblue,strawberry,2,True,False,1,False,0,False
thundergrey,1476985,6,6,thundergrey,False,False,,False,,,,,crazy,happygokitty,rascal,kurilian,finalfrontier,cloudwhite,swampgreen,icy,3,True,False,1,False,0,False
thundergrey,1479760,6,6,thundergrey,False,False,,False,,,,,crazy,happygokitty,camo,kurilian,finalfrontier,cloudwhite,chocolate,icy,3,True,False,1,False,0,False
sapphire,1470780,4,4,sapphire,False,False,,False,,,,,sass,ganado,lykoi,struck,dragonfruit,apricot,frosting,sapphire,2,True,False,0,False,0,False
doridnudibranch,1254458,9,9,doridnudibranch,True,False,DracoJunior,False,,,783,,,,,,,,,,4,True,False,0,False,0,False
topaz,1487864,17,17,topaz,False,False,,False,,,,,saycheese,wonky,norwegianforest,tiger,shamrock,finalfrontier,lemonade,purplehaze,8,True,False,1,False,0,False
bridesmaid,1279939,2,2,bridesmaid,False,False,,False,,,,,totesbasic,grim,birman,asif,bridesmaid,shadowgrey,violet,cashewmilk,1,True,False,1,False,0,False
parakeet,1478461,6,6,parakeet,False,False,,False,,,,,grim,birman,baddate,rascal,shamrock,chocolate,kittencream,parakeet,3,True,False,0,False,0,False
cyan,1484779,3,3,cyan,False,False,,False,,,,,selkirk,soserious,spangled,wonky,bananacream,royalpurple,icy,cyan,1,True,False,0,False,0,False
dahlia,1038115,6,6,dahlia,False,False,,True,prune,295,,2018-10-01T07:00:00Z,totesbasic,pouty,chronic,norwegianforest,prune,bananacream,swampgreen,shale,3,True,False,0,False,0,False
thundergrey,1037371,6,6,thundergrey,False,False,,True,prune,280,,2018-10-01T07:00:00Z,totesbasic,pouty,norwegianforest,prune,wiley,cottoncandy,scarlet,shale,3,True,False,0,False,0,False
dahlia,1037170,6,6,dahlia,False,False,,True,prune,276,,2018-10-01T07:00:00Z,totesbasic,pouty,norwegianforest,prune,wiley,cottoncandy,skyblue,frosting,3,True,False,1,False,0,False
thundergrey,1037096,6,6,thundergrey,False,False,,True,prune,275,,2018-10-01T07:00:00Z,totesbasic,pouty,chronic,norwegianforest,prune,greymatter,scarlet,shale,3,True,False,2,False,0,False
strawberry,1035572,1,1,strawberry,False,False,,False,,,,,sphynx,thicccbrowz,amur,grimace,oldlace,lemonade,sandalwood,strawberry,0,True,False,1,False,0,False
thundergrey,1423713,6,6,thundergrey,False,False,,False,,,,,selkirk,gerbil,spangled,swarley,brownies,lilac,daffodil,thundergrey,4,True,False,0,False,0,False
parakeet,1467808,1,1,parakeet,False,False,,False,,,,,thicccbrowz,ragdoll,rorschach,impish,brownies,royalpurple,purplehaze,parakeet,0,True,False,0,False,0,False
parakeet,1298746,3,3,parakeet,False,False,,False,,,,,thicccbrowz,camo,pixiebob,rollercoaster,mauveover,butterscotch,frosting,parakeet,1,True,False,0,False,0,False
sapphire,1310176,4,4,sapphire,False,False,,False,,,,,soserious,amur,chantilly,wonky,brownies,barkbrown,purplehaze,sapphire,2,True,False,0,False,0,False
bubblegum,1042953,24,24,bubblegum,False,False,,True,prune,363,,2018-10-01T07:00:00Z,totesbasic,grim,norwegianforest,prune,wiley,shadowgrey,safetyvest,morningglory,13,True,False,0,False,0,False
mintgreen,1054294,22,22,mintgreen,False,False,,True,prune,563,,2018-10-01T07:00:00Z,totesbasic,norwegianforest,prune,wiley,belch,cloudwhite,lemonade,periwinkle,13,True,False,0,False,0,False
thundergrey,1471255,7,7,thundergrey,False,False,,False,,,,,confuzzled,thicccbrowz,spock,koladiviya,unicorn,cottoncandy,egyptiankohl,cashewmilk,3,True,False,0,False,0,False
sizzurp,458010,4,4,sizzurp,False,False,,False,,,,,sizzurp,simple,spock,ragdoll,grim,cottoncandy,coffee,sandalwood,3,True,False,2,False,0,False
thundergrey,1372193,13,13,thundergrey,True,False,Squib,False,,,1047,,,,,,,,,,9,True,False,0,False,0,False
cyan,1016602,1,1,cyan,False,False,,False,,,,,tongue,chantilly,asif,tiger,tundra,lemonade,cashewmilk,cyan,0,True,False,2,False,0,False
dahlia,1424436,12,12,dahlia,False,False,,False,,,,,confuzzled,ragdoll,wonky,mittens,flapflap,cinderella,royalpurple,sandalwood,8,True,False,0,False,0,False
dahlia,1262785,3,3,dahlia,True,False,Dreggo,False,,,3325,,,,,,,,,,4,True,False,0,False,0,False
sapphire,1460749,5,5,sapphire,False,False,,False,,,,,confuzzled,chantilly,rascal,swarley,shamrock,swampgreen,belleblue,sapphire,2,True,False,0,False,0,False
topaz,185856,9,9,topaz,False,False,,False,,,,,ragamuffin,topaz,wingtips,calicool,saycheese,shadowgrey,royalpurple,kittencream,13,True,False,0,False,0,False
sapphire,615358,2,2,sapphire,False,False,,False,,,,,munchkin,crazy,luckystripe,pouty,sapphire,cottoncandy,coffee,azaleablush,1,True,False,1,False,0,False
topaz,262411,9,9,topaz,True,False,DuCat,False,,,3906,,,,,,,,,,6,True,False,1,False,0,False
mintgreen,1154049,8,8,mintgreen,False,False,,True,thatsawrap,489,,2018-11-07T07:59:59Z,soserious,chronic,bobtail,rascal,shadowgrey,egyptiankohl,purplehaze,mintgreen,5,True,False,0,False,0,False
chestnut,1145449,9,9,chestnut,False,False,,True,thatsawrap,360,,2018-11-07T07:59:59Z,camo,bobtail,chameleon,rollercoaster,aquamarine,springcrocus,belleblue,chestnut,4,True,False,0,False,0,False
gold,1420482,16,16,gold,False,False,,False,,,,,sphynx,fabulous,spock,fangtastic,orangesoda,cerulian,kittencream,gold,9,True,False,0,False,0,False
forgetmenot,1009354,6,6,forgetmenot,False,False,,False,,,,,thicccbrowz,happygokitty,highsociety,kurilian,martian,lilac,emeraldgreen,forgetmenot,13,True,False,2,False,0,False
gold,1056481,15,15,gold,False,False,,False,,,,,selkirk,thicccbrowz,spock,soserious,mauveover,skyblue,seafoam,gold,8,True,False,1,False,0,False
dahlia,1435351,12,12,dahlia,True,False,Glasswalker,False,,,232,,,,,,,,,,12,True,False,1,False,0,False
parakeet,1439645,4,4,parakeet,False,False,,False,,,,,happygokitty,ragdoll,serpent,rorschach,frozen,greymatter,lilac,frosting,2,True,False,2,False,0,False
mintgreen,1423324,3,3,mintgreen,False,False,,False,,,,,confuzzled,thicccbrowz,spangled,koladiviya,cinderella,egyptiankohl,kalahari,mintgreen,1,True,False,1,False,0,False
cyan,1421218,5,5,cyan,False,False,,False,,,,,totesbasic,serpent,chantilly,fangtastic,greymatter,egyptiankohl,frosting,cyan,2,True,False,1,False,0,False
chestnut,1424689,2,2,chestnut,False,False,,False,,,,,confuzzled,chantilly,asif,rascal,cottoncandy,padparadscha,cashewmilk,chestnut,1,True,False,1,False,0,False
doridnudibranch,1420201,5,5,doridnudibranch,False,False,,False,,,,,amur,chantilly,swarley,fangtastic,greymatter,royalpurple,frosting,doridnudibranch,2,True,False,1,False,0,False
limegreen,1006653,14,14,limegreen,True,False,Purrspero,False,,,4191,,,,,,,,,,8,True,False,1,False,0,False
sapphire,1273199,8,8,sapphire,False,False,,False,,,,,pouty,ragdoll,allyouneed,swarley,unicorn,mauveover,lemonade,sandalwood,7,True,False,0,False,0,False
sizzurp,201660,7,7,sizzurp,False,False,,False,,,,,sphynx,sizzurp,thicccbrowz,totesbasic,soserious,mauveover,chocolate,peach,3,True,False,0,False,0,False
dahlia,1403849,2,2,dahlia,False,False,,False,,,,,munchkin,pouty,amur,chronic,brownies,swampgreen,cashewmilk,dahlia,1,True,False,0,False,0,False
sapphire,1359216,5,5,sapphire,False,False,,False,,,,,himalayan,totesbasic,buzzed,fangtastic,cloudwhite,lemonade,icy,sapphire,5,True,False,4,False,0,False
olive,1384613,16,16,olive,False,False,,False,,,,,selkirk,olive,spock,saycheese,swarley,dragonwings,martian,scarlet,8,True,False,1,False,0,False
dahlia,1403876,11,11,dahlia,True,False,Al,False,,,214,,,,,,,,,,5,True,False,0,False,0,False
sizzurp,195580,7,7,sizzurp,False,False,,False,,,,,sphynx,sizzurp,raisedbrow,totesbasic,pouty,shadowgrey,barkbrown,kittencream,3,True,False,0,False,0,False
thundergrey,1330811,7,7,thundergrey,False,False,,False,,,,,crazy,totesbasic,happygokitty,chantilly,jacked,nachocheez,lemonade,purplehaze,3,True,False,0,False,0,False
sapphire,783210,4,4,sapphire,False,False,,False,,,,,ragdoll,grim,sapphire,mauveover,swampgreen,icy,rascal,caffeine,2,True,False,1,False,0,False
mintgreen,687657,1,1,mintgreen,False,False,,False,,,,,mintgreen,pouty,spangled,wonky,cottoncandy,purplehaze,egyptiankohl,pixiebob,3,True,False,1,False,0,False
olive,1369766,11,11,olive,False,False,,False,,,,,luckystripe,pouty,sass,dioscuri,highlander,mauveover,poisonberry,kittencream,5,True,False,0,False,0,False
coralsunrise,639319,8,8,coralsunrise,False,False,,False,,,,,simple,pouty,ragdoll,ganado,coralsunrise,bananacream,apricot,icy,4,True,False,1,False,0,False
cyan,664434,1,1,cyan,False,False,,False,,,,,pouty,ragdoll,amur,orangesoda,kittencream,egyptiankohl,wiley,cyan,0,True,False,2,False,0,False
thundergrey,706602,5,5,thundergrey,False,False,,False,,,,,pouty,spangled,elk,thundergrey,chronic,bananacream,coffee,azaleablush,3,True,False,1,False,0,False
topaz,10766,10,10,topaz,False,False,,False,,,,,laperm,topaz,fabulous,tigerpunk,pouty,shadowgrey,swampgreen,granitegrey,13,True,False,3,False,0,False
limegreen,23172,18,18,limegreen,False,False,,False,,,,,munchkin,limegreen,fabulous,calicool,dali,shadowgrey,swampgreen,kittencream,13,True,False,1,False,0,False
sizzurp,680588,2,2,sizzurp,False,False,,False,,,,,sizzurp,pouty,ragdoll,amur,stunned,bananacream,turtleback,icy,1,True,False,0,False,0,False
doridnudibranch,730520,21,21,doridnudibranch,False,False,,False,,,,,totesbasic,whixtensions,birman,mauveover,chocolate,azaleablush,wiley,doridnudibranch,10,True,False,1,False,0,False
parakeet,715161,1,1,parakeet,False,False,,False,,,,,calicool,soserious,wonky,birman,cottoncandy,lemonade,azaleablush,parakeet,0,True,False,0,False,0,False
thundergrey,532198,25,25,thundergrey,False,False,,False,,,,,gerbil,ragdoll,hotrod,serpent,thundergrey,onyx,lemonade,emeraldgreen,12,True,False,4,False,0,False
mintgreen,728975,4,4,mintgreen,False,False,,False,,,,,mintgreen,crazy,totesbasic,happygokitty,ragdoll,cloudwhite,skyblue,azaleablush,2,True,False,0,False,0,False
cyan,714690,1,1,cyan,False,False,,False,,,,,totesbasic,pouty,stunned,shadowgrey,morningglory,bobtail,egyptiankohl,cyan,3,True,False,1,False,0,False
cyan,591569,19,19,cyan,False,False,,False,,,,,raisedbrow,spock,soserious,norwegianforest,shadowgrey,lemonade,bloodred,cyan,11,True,False,1,False,0,False
sizzurp,650177,2,2,sizzurp,False,False,,False,,,,,munchkin,sizzurp,crazy,totesbasic,happygokitty,shadowgrey,swampgreen,sandalwood,1,True,False,1,False,0,False
coralsunrise,708974,1,1,coralsunrise,False,False,,False,,,,,selkirk,totesbasic,grim,slyboots,coralsunrise,cottoncandy,safetyvest,frosting,0,True,False,0,False,0,False
cyan,697328,1,1,cyan,False,False,,False,,,,,thicccbrowz,happygokitty,mauveover,purplehaze,cyan,safetyvest,pixiebob,rascal,0,True,False,0,False,0,False
mintgreen,643875,20,20,mintgreen,False,False,,False,,,,,cymric,mintgreen,crazy,totesbasic,gerbil,aquamarine,chocolate,granitegrey,10,True,False,0,False,0,False
sapphire,660045,2,2,sapphire,False,False,,False,,,,,selkirk,totesbasic,happygokitty,slyboots,sapphire,bananacream,morningglory,egyptiankohl,1,True,False,2,False,0,False
sapphire,657864,8,8,sapphire,False,False,,False,,,,,otaku,whixtensions,sapphire,ganado,birman,bananacream,sandalwood,egyptiankohl,5,True,False,1,False,0,False
strawberry,710193,7,7,strawberry,False,False,,False,,,,,laperm,strawberry,totesbasic,gerbil,serpent,elk,bananacream,royalpurple,3,True,False,3,False,0,False
mintgreen,647176,1,1,mintgreen,False,False,,False,,,,,mintgreen,pouty,chronic,cottoncandy,purplehaze,bobtail,leopard,safetyvest,2,True,False,2,False,0,False
sizzurp,103450,8,8,sizzurp,False,False,,False,,,,,laperm,sizzurp,simple,luckystripe,soserious,cloudwhite,coffee,kittencream,5,True,False,0,False,0,False
mintgreen,662804,3,3,mintgreen,False,False,,False,,,,,mintgreen,happygokitty,birman,hintomint,apricot,tiger,wiley,periwinkle,1,True,False,0,False,0,False
strawberry,524090,12,12,strawberry,False,False,,False,,,,,strawberry,luckystripe,soserious,ragdoll,shadowgrey,violet,kittencream,baddate,7,True,False,152,False,0,False
strawberry,82636,18,18,strawberry,False,False,,False,,,,,ragamuffin,strawberry,simple,tigerpunk,happygokitty,mauveover,barkbrown,kittencream,9,True,False,0,False,0,False
cyan,668645,1,1,cyan,False,False,,False,,,,,soserious,chronic,greymatter,purplehaze,bobtail,leopard,cyan,poisonberry,0,True,False,1,False,0,False
sapphire,649469,3,3,sapphire,False,False,,False,,,,,mainecoon,raisedbrow,whixtensions,spangled,sapphire,oldlace,lemonade,azaleablush,1,True,False,0,False,0,False
strawberry,598831,3,3,strawberry,False,False,,False,,,,,strawberry,googly,totesbasic,saycheese,manx,greymatter,royalpurple,kittencream,8,True,False,1,False,0,False
thundergrey,552994,4,4,thundergrey,False,False,,False,,,,,selkirk,thicccbrowz,soserious,amur,thundergrey,koala,turtleback,azaleablush,2,True,False,2,False,0,False
thundergrey,548647,4,4,thundergrey,False,False,,False,,,,,selkirk,soserious,thundergrey,wonky,camo,aquamarine,turtleback,icy,2,True,False,3,False,0,False
sapphire,534062,3,3,sapphire,False,False,,False,,,,,ragdoll,elk,grim,wonky,sapphire,cottoncandy,coffee,purplehaze,8,True,False,0,False,0,False
strawberry,633785,11,11,strawberry,False,False,,False,,,,,strawberry,grim,sass,ganado,norwegianforest,onyx,royalpurple,azaleablush,9,True,False,3,False,0,False
topaz,703548,10,10,topaz,False,False,,False,,,,,cymric,topaz,soserious,amur,serpent,cottoncandy,belleblue,springcrocus,6,True,False,1,False,0,False
mintgreen,370029,6,6,mintgreen,True,False,DuCat,False,,,6317,,,,,,,,,,6,True,False,2,False,0,False
mintgreen,694327,8,8,mintgreen,False,False,,False,,,,,munchkin,mintgreen,totesbasic,alien,elk,grimace,mauveover,lemonade,5,True,False,0,False,0,False
sizzurp,695871,9,9,sizzurp,False,False,,False,,,,,sizzurp,dali,ragdoll,henna,aquamarine,royalpurple,sandalwood,baddate,4,True,False,1,False,0,False
strawberry,441508,3,3,strawberry,False,False,,False,,,,,strawberry,spock,saycheese,ragdoll,alien,aquamarine,swampgreen,granitegrey,2,True,False,3,False,0,False
topaz,468434,7,7,topaz,False,False,,False,,,,,sphynx,topaz,soserious,amur,chronic,verdigris,swampgreen,icy,6,True,False,3,False,0,False
strawberry,493444,2,2,strawberry,False,False,,False,,,,,strawberry,thicccbrowz,saycheese,ragdoll,amur,hintomint,coffee,emeraldgreen,1,True,False,3,False,0,False
chestnut,562164,22,22,chestnut,False,False,,False,,,,,chartreux,chestnut,thicccbrowz,calicool,gerbil,trioculus,shadowgrey,swampgreen,12,True,False,1,False,0,False
thundergrey,701793,6,6,thundergrey,False,False,,False,,,,,fabulous,saycheese,amur,thundergrey,birman,cottoncandy,sandalwood,springcrocus,3,True,False,1,False,0,False
sizzurp,698851,2,2,sizzurp,False,False,,False,,,,,sizzurp,raisedbrow,totesbasic,pouty,cottoncandy,purplehaze,pixiebob,springcrocus,1,True,False,0,False,0,False
sapphire,700514,7,7,sapphire,False,False,,False,,,,,fabulous,soserious,ragdoll,amur,sapphire,shadowgrey,morningglory,springcrocus,5,True,False,0,False,0,False
bubblegum,99315,13,13,bubblegum,False,False,,False,,,,,ragamuffin,bubblegum,otaku,luckystripe,happygokitty,mauveover,chocolate,kittencream,8,True,False,0,False,0,False
mintgreen,689828,4,4,mintgreen,False,False,,False,,,,,mintgreen,ragdoll,grim,sass,ganado,azaleablush,egyptiankohl,harbourfog,2,True,False,0,False,0,False
strawberry,690536,2,2,strawberry,False,False,,False,,,,,strawberry,ganado,birman,bananacream,lemonade,belch,patrickstarfish,caffeine,1,True,False,1,False,0,False
chestnut,255629,12,12,chestnut,False,False,,False,,,,,ragamuffin,chestnut,googly,luckystripe,soserious,cloudwhite,skyblue,peach,6,True,False,22,False,0,False
gold,388180,9,9,gold,False,False,,False,,,,,gold,googly,soserious,ragdoll,amur,mauveover,swampgreen,sandalwood,6,True,False,2,False,0,False
gold,512716,6,6,gold,False,False,,False,,,,,himalayan,gold,googly,beard,spangled,cottoncandy,lilac,sandalwood,3,True,False,1,False,0,False
mintgreen,647108,2,2,mintgreen,False,False,,False,,,,,mintgreen,soserious,birman,cottoncandy,barkbrown,azaleablush,sweetmeloncakes,leopard,3,True,False,1,False,0,False
thundergrey,653029,4,4,thundergrey,False,False,,False,,,,,ragdoll,thundergrey,slyboots,shadowgrey,royalpurple,morningglory,wuvme,leopard,3,True,False,1,False,0,False
gold,613713,8,8,gold,False,False,,False,,,,,selkirk,gold,pouty,stunned,oldlace,scarlet,icy,leopard,4,True,False,1,False,0,False
sizzurp,639163,13,13,sizzurp,False,False,,False,,,,,sizzurp,simple,whixtensions,birman,bananacream,royalpurple,icy,thunderstruck,7,True,False,1,False,0,False
chestnut,675329,99,99,chestnut,False,False,,False,,,,,selkirk,chestnut,simple,luckystripe,gerbil,cloudwhite,belleblue,egyptiankohl,13,True,False,3,False,0,False
coralsunrise,691864,4,4,coralsunrise,False,False,,False,,,,,otaku,soserious,birman,coralsunrise,greymatter,morningglory,tiger,daemonwings,2,True,False,0,False,0,False
mintgreen,539310,1,1,mintgreen,False,False,,False,,,,,selkirk,mintgreen,thicccbrowz,happygokitty,amur,cottoncandy,chocolate,sandalwood,0,True,False,0,False,0,False
coralsunrise,691606,1,1,coralsunrise,False,False,,False,,,,,amur,birman,coralsunrise,mauveover,royalpurple,daffodil,wiley,wuvme,0,True,False,0,False,0,False
thundergrey,511935,2,2,thundergrey,False,False,,False,,,,,simple,pouty,ragdoll,spangled,thundergrey,mauveover,swampgreen,azaleablush,1,True,False,2,False,0,False
cyan,665489,2,2,cyan,False,False,,False,,,,,happygokitty,chronic,savannah,cottoncandy,purplehaze,egyptiankohl,dippedcone,cyan,1,True,False,0,False,0,False
mintgreen,497888,10,10,mintgreen,False,False,,False,,,,,selkirk,mintgreen,totesbasic,gerbil,chronic,koala,lemonade,icy,5,True,False,4,False,0,False
mintgreen,656424,5,5,mintgreen,True,False,PussForProgress,False,,,1396,,,,,,,,,,12,True,False,0,False,0,False
sizzurp,568082,4,4,sizzurp,False,False,,False,,,,,himalayan,sizzurp,fabulous,amur,grim,oldlace,lilac,emeraldgreen,2,True,False,0,False,0,False
mintgreen,678923,3,3,mintgreen,False,False,,False,,,,,mintgreen,grim,sass,greymatter,barkbrown,granitegrey,bobtail,dippedcone,1,True,False,1,False,0,False
cyan,681623,2,2,cyan,False,False,,False,,,,,grim,oldlace,morningglory,bobtail,wiley,leopard,cyan,springcrocus,1,True,False,0,False,0,False
sapphire,680277,2,2,sapphire,False,False,,False,,,,,selkirk,happygokitty,amur,serpent,sapphire,nachocheez,lemonade,sandalwood,1,True,False,1,False,0,False
