time,ID,USD,generation,color,is_fancy,is_exclusive,fancy_type,is_prestige,prestige_type,prestige_ranking,fancy_ranking,prestige_time_limit,enhanced_cattributes_eyes,enhanced_cattributes_pattern,enhanced_cattributes_body,enhanced_cattributes_mouth,enhanced_cattributes_colorprimary,enhanced_cattributes_colorsecondary,enhanced_cattributes_colortertiary,enhanced_cattributes_coloreyes,status_cooldown_index,status_is_ready,status_is_gestating,purrs_count,purrs_is_purred,watchlist_count,watchlist_is_watchlisted
2019-07-05T06:49:40.000Z,1629570,0.86,8,cyan,False,False,,False,,,,,otaku,pouty,ganado,lykoi,brownies,apricot,purplehaze,cyan,4,True,False,1,False,0,False
2019-07-05T06:49:21.000Z,1630294,1.15,5,sapphire,False,False,,False,,,,,crazy,spock,pouty,lykoi,orangesoda,scarlet,kalahari,sapphire,2,True,False,0,False,0,False
2019-07-05T06:49:00.000Z,1144986,0.58,10,sizzurp,False,False,,False,,,,,slyboots,wasntme,lykoi,tiger,daemonwings,salmon,padparadscha,purplehaze,11,True,False,3,False,0,False
2019-07-05T06:48:35.000Z,1263468,0.56,7,doridnudibranch,False,False,,False,,,,,luckystripe,soserious,cyborg,toyger,wiley,martian,granitegrey,doridnudibranch,3,True,False,1,False,0,False
2019-07-05T06:47:15.000Z,1552582,0.55,7,cyan,False,False,,False,,,,,wasntme,ganado,siberian,swarley,nachocheez,apricot,cashewmilk,cyan,3,True,False,0,False,0,False
2019-07-05T06:46:19.000Z,1197747,0.55,5,strawberry,False,False,,False,,,,,soserious,lykoi,wiley,rascal,bananacream,swampgreen,azaleablush,strawberry,2,True,False,1,False,0,False
2019-07-05T06:46:08.000Z,1517632,0.52,6,pumpkin,False,False,,False,,,,,selkirk,crazy,spock,pouty,onyx,coffee,emeraldgreen,pumpkin,3,True,False,0,False,0,False
2019-07-05T06:45:16.000Z,1570287,0.52,3,parakeet,False,False,,False,,,,,whixtensions,slyboots,rascal,kurilian,cinderella,egyptiankohl,belleblue,parakeet,1,True,False,0,False,0,False
2019-07-05T06:44:10.000Z,1091409,0.47,2,sapphire,False,False,,False,,,,,thicccbrowz,spangled,birman,wuvme,bananacream,skyblue,morningglory,sapphire,1,True,False,0,False,0,False
2019-07-05T06:27:18.000Z,1151860,26.85,11,kaleidoscope,False,False,,False,,,,,soserious,kaleidoscope,wiley,rascal,koladiviya,shadowgrey,royalpurple,flamingo,5,True,False,0,False,0,False
2019-07-05T06:05:43.000Z,1637213,1.44,5,cyan,False,False,,False,,,,,thicccbrowz,pouty,savannah,moonrise,cinderella,lilac,granitegrey,cyan,12,False,False,1,False,0,False
2019-07-05T06:04:33.000Z,1266780,0.46,9,bridesmaid,False,False,,False,,,,,confuzzled,chronic,camo,toyger,bridesmaid,martian,apricot,shale,4,True,False,2,False,0,False
2019-07-05T05:58:38.000Z,1637904,1.44,6,thundergrey,False,False,,False,,,,,pouty,wiley,rascal,koladiviya,littlefoot,bananacream,lilac,kittencream,11,True,False,1,False,0,False
2019-07-05T05:58:18.000Z,1125884,1.3,1,cyan,False,False,,False,,,,,thicccbrowz,pouty,rascal,koladiviya,cinderella,skyblue,frosting,cyan,0,True,False,0,False,0,False
2019-07-05T05:57:11.000Z,1637805,1.44,5,thundergrey,False,False,,False,,,,,thicccbrowz,grim,norwegianforest,rascal,littlefoot,bananacream,royalpurple,kittencream,11,True,False,1,False,0,False
2019-07-05T05:49:58.000Z,1638427,1.44,11,topaz,False,False,,False,,,,,totesbasic,grim,slyboots,savannah,littlefoot,orangesoda,lemonade,icy,9,True,False,1,False,0,False
2019-07-05T05:35:03.000Z,850434,3.74,6,cyan,True,False,Lulu,False,,,230,,,,,,,,,,13,False,False,6,False,0,False
2019-07-05T05:26:31.000Z,1010032,26.19,3,sapphire,False,False,,False,,,,,soserious,fox,wiley,rascal,tundra,poisonberry,cashewmilk,sapphire,1,True,False,3,False,0,False
2019-07-05T04:56:14.000Z,1043670,38.21,7,cyan,False,False,,False,,,,,totesbasic,tongue,fox,wiley,tundra,coffee,frosting,cyan,3,True,False,1,False,0,False
2019-07-05T04:48:53.000Z,918525,2.13,1,palejade,False,False,,False,,,,,amur,grim,chronic,koladiviya,cinderella,egyptiankohl,icy,palejade,0,True,False,1,False,0,False
2019-07-05T04:44:30.000Z,1636408,7.81,15,olive,False,False,,False,,,,,olive,whixtensions,asif,mittens,manul,littlefoot,cottoncandy,scarlet,9,True,False,1,False,0,False
2019-07-05T04:32:34.000Z,1635424,0.54,12,forgetmenot,False,False,,False,,,,,ragamuffin,wonky,moonrise,starstruck,dragontail,redvelvet,butterscotch,shale,7,True,False,1,False,0,False
2019-07-05T04:27:20.000Z,1637859,1.43,8,cyan,False,False,,False,,,,,totesbasic,grim,swarley,koladiviya,littlefoot,orangesoda,lemonade,icy,8,True,False,0,False,0,False
2019-07-05T04:26:06.000Z,857510,5.38,8,parakeet,False,False,,False,,,,,soserious,ragdoll,amur,sass,juju,bananacream,poisonberry,azaleablush,6,True,False,3,False,0,False
2019-07-05T04:20:16.000Z,1619303,86.0,4,thundergrey,True,False,Curdlin,False,,,4400,,,,,,,,,,2,True,False,0,False,0,False
2019-07-05T04:20:16.000Z,1613400,71.67,4,thundergrey,True,False,Curdlin,False,,,4349,,,,,,,,,,2,True,False,0,False,0,False
2019-07-05T03:57:42.000Z,1545051,37.2,2,strawberry,False,False,,False,,,,,luckystripe,chronic,wuvme,koladiviya,onyx,apricot,granitegrey,strawberry,3,True,False,0,False,0,False
2019-07-05T03:56:08.000Z,1016910,18.33,18,cyan,False,False,,False,,,,,ragdoll,slyboots,ganado,wuvme,shamrock,frozen,royalpurple,cashewmilk,9,True,False,1,False,0,False
2019-07-05T03:26:10.000Z,853115,49.56,7,doridnudibranch,False,False,,False,,,,,jaguar,soserious,savannah,wiley,unicorn,frozen,mauveover,skyblue,3,True,False,5,False,0,False
2019-07-05T03:11:15.000Z,1637404,16.55,7,gold,False,False,,True,werekitty,23,,2019-07-28T06:59:59Z,selkirk,thicccbrowz,soserious,moonrise,littlefoot,orangesoda,royalpurple,purplehaze,7,True,False,2,False,0,False
2019-07-05T03:06:27.000Z,1625939,2.87,7,eclipse,False,False,,False,,,,,totesbasic,ragdoll,alien,wuvme,daemonwings,onyx,skyblue,belleblue,4,True,False,0,False,0,False
2019-07-05T02:55:47.000Z,1009482,72.15,6,olive,False,False,,False,,,,,selkirk,olive,samwise,totesbasic,sass,shamrock,dragonwings,barkbrown,3,True,False,7,False,0,False
2019-07-05T02:43:48.000Z,982615,0.54,14,eclipse,False,False,,False,,,,,selkirk,vigilante,wuvme,wowza,littlefoot,brownies,safetyvest,kalahari,7,True,False,1,False,0,False
2019-07-05T02:43:01.000Z,1586576,0.55,2,olive,False,False,,False,,,,,olive,pouty,slyboots,norwegianforest,rascal,shadowgrey,barkbrown,sandalwood,1,True,False,1,False,0,False
