time,ID,USD
2019-06-29T12:14:03.000Z,627755,1.47
2019-06-29T12:05:23.000Z,1035719,0.39
2019-06-29T11:52:12.000Z,1635195,13.41
2019-06-29T11:51:19.000Z,1636497,30.86
2019-06-29T11:50:46.000Z,1636449,5.87
2019-06-29T11:47:22.000Z,1121857,0.36
2019-06-29T11:35:47.000Z,1099531,0.36
2019-06-29T11:35:29.000Z,1093176,1.53
2019-06-29T11:35:29.000Z,1159364,1.51
2019-06-29T11:35:27.000Z,1016757,1.54
2019-06-29T11:35:27.000Z,1510375,1.56
2019-06-29T11:35:27.000Z,1168011,1.52
2019-06-29T11:35:27.000Z,1170628,1.52
2019-06-29T11:35:21.000Z,1126600,1.54
2019-06-29T11:35:21.000Z,1168030,1.55
2019-06-29T11:35:21.000Z,1016756,1.56
2019-06-29T11:35:21.000Z,1170733,1.5
2019-06-29T11:33:06.000Z,1372245,0.98
2019-06-29T11:29:14.000Z,1428543,0.38
2019-06-29T11:25:07.000Z,1372810,0.98
2019-06-29T11:22:58.000Z,1277897,0.39
2019-06-29T11:22:58.000Z,1540216,0.61
2019-06-29T11:16:14.000Z,1128019,0.89
2019-06-29T11:16:00.000Z,879393,26.51
2019-06-29T11:07:47.000Z,1561626,1.53
2019-06-29T10:47:55.000Z,1058727,0.36
2019-06-29T10:47:55.000Z,1111083,0.37
2019-06-29T10:36:42.000Z,1132368,0.39
2019-06-29T10:22:32.000Z,1593047,41.13
2019-06-29T10:07:16.000Z,1634488,14.96
2019-06-29T09:52:07.000Z,1636506,11.13
2019-06-29T09:35:43.000Z,1043089,0.39
2019-06-29T08:40:13.000Z,1525768,0.6
2019-06-29T08:33:14.000Z,993803,0.39
2019-06-29T08:24:36.000Z,497523,2.72
2019-06-29T08:23:02.000Z,1636496,29.99
2019-06-29T08:17:05.000Z,2486,164.24
2019-06-29T08:12:04.000Z,1450128,4.37
2019-06-29T08:10:29.000Z,1606614,1.5
2019-06-29T08:07:57.000Z,1587989,4.75
2019-06-29T08:03:02.000Z,1033911,3.93
2019-06-29T07:55:15.000Z,1452796,8.09
2019-06-29T07:52:59.000Z,1636002,9.17
2019-06-29T07:43:02.000Z,547184,3.61
2019-06-29T07:33:33.000Z,1171399,1.49
2019-06-29T07:30:18.000Z,959699,39.49
2019-06-29T07:05:01.000Z,1433110,0.4
2019-06-29T06:49:52.000Z,1825,2709.9
2019-06-29T06:22:46.000Z,1615678,2.55
2019-06-29T06:15:50.000Z,1440346,6.87
2019-06-29T06:08:27.000Z,1583159,1.68
2019-06-29T06:03:12.000Z,1047475,8.5
2019-06-29T05:38:03.000Z,1627043,0.4
2019-06-29T05:30:54.000Z,1056069,2.7
2019-06-29T05:25:11.000Z,1145619,2.7
2019-06-29T05:05:20.000Z,1246974,0.4
2019-06-29T04:54:40.000Z,826557,14.89
2019-06-29T04:39:29.000Z,1630961,2.66
2019-06-29T04:32:07.000Z,903700,2.37
2019-06-29T04:29:19.000Z,1630598,2.37
2019-06-29T04:21:47.000Z,1146683,2.36
2019-06-29T04:13:34.000Z,1093735,0.4
2019-06-29T04:07:45.000Z,1467885,1.46
2019-06-29T04:07:04.000Z,1531008,1.46
2019-06-29T04:07:04.000Z,1126602,1.46
2019-06-29T04:07:04.000Z,1517920,1.46
2019-06-29T04:06:42.000Z,1468009,1.46
2019-06-29T04:06:42.000Z,1483431,1.46
2019-06-29T04:06:42.000Z,1460227,1.46
2019-06-29T04:02:13.000Z,1483436,1.46
2019-06-29T04:02:13.000Z,1532804,1.46
2019-06-29T04:02:13.000Z,1060124,1.47
2019-06-29T03:59:13.000Z,1160289,1.47
2019-06-29T03:50:30.000Z,1040436,2.68
2019-06-29T03:48:53.000Z,899699,22.38
2019-06-29T03:46:00.000Z,1463335,1.49
2019-06-29T03:34:19.000Z,1354651,2.99
2019-06-29T03:32:25.000Z,1166593,2.69
2019-06-29T03:14:52.000Z,1408345,3.0
2019-06-29T03:13:09.000Z,1524238,2.04
2019-06-29T03:05:55.000Z,1592674,2.7
2019-06-29T03:02:04.000Z,1139601,2.99
2019-06-29T03:00:18.000Z,1619004,2.59
2019-06-29T02:55:03.000Z,1626226,6.0
2019-06-29T02:55:03.000Z,1621895,3.0
2019-06-29T02:23:51.000Z,1636038,0.53
2019-06-29T02:22:47.000Z,1246242,1.48
2019-06-29T02:22:47.000Z,1159537,1.48
2019-06-29T02:22:47.000Z,1306235,1.48
2019-06-29T02:22:40.000Z,1297056,1.48
2019-06-29T02:22:40.000Z,1245982,1.48
2019-06-29T02:22:03.000Z,1245657,1.48
2019-06-29T02:22:03.000Z,1246546,1.48
2019-06-29T02:21:45.000Z,1572099,1.49
2019-06-29T02:21:45.000Z,1003477,1.51
2019-06-29T02:21:45.000Z,1401732,1.49
2019-06-29T02:21:42.000Z,1530959,1.49
2019-06-29T02:21:37.000Z,1447412,1.49
2019-06-29T02:21:34.000Z,1544004,1.49
2019-06-29T02:21:34.000Z,1483315,1.49
2019-06-29T02:21:34.000Z,1460250,1.49
2019-06-29T02:20:38.000Z,1584991,0.61
2019-06-29T02:19:26.000Z,1143481,0.37
2019-06-29T02:19:22.000Z,1113446,0.37
2019-06-29T02:19:22.000Z,1043090,0.36
2019-06-29T02:18:44.000Z,679408,54.36
2019-06-29T02:16:20.000Z,1546975,1.49
2019-06-29T02:16:20.000Z,1563318,1.49
2019-06-29T02:15:50.000Z,1332696,1.49
2019-06-29T02:15:50.000Z,1401975,1.49
2019-06-29T02:15:50.000Z,1346543,1.49
2019-06-29T02:15:50.000Z,1482278,1.49
2019-06-29T02:15:50.000Z,1377847,1.49
2019-06-29T02:02:29.000Z,1548728,0.65
2019-06-29T01:57:05.000Z,1168010,1.51
2019-06-29T01:56:06.000Z,1357727,1.52
2019-06-29T01:56:06.000Z,1170565,1.52
2019-06-29T01:55:58.000Z,1271496,1.51
2019-06-29T01:55:55.000Z,1265081,1.51
2019-06-29T01:55:20.000Z,1326804,1.51
2019-06-29T01:55:04.000Z,1246574,1.51
2019-06-29T01:55:04.000Z,1248119,1.51
2019-06-29T01:54:42.000Z,1272024,1.51
2019-06-29T01:54:27.000Z,1246577,1.51
2019-06-29T01:53:39.000Z,1257375,1.51
2019-06-29T01:53:25.000Z,1265700,1.51
2019-06-29T01:53:03.000Z,1272472,1.51
2019-06-29T01:52:45.000Z,1246406,1.51
2019-06-29T01:42:06.000Z,1605163,0.62
2019-06-29T01:42:06.000Z,1409655,0.93
2019-06-29T01:41:53.000Z,806160,4.02
2019-06-29T01:35:14.000Z,1000091,0.41
2019-06-29T01:35:14.000Z,1848,617.04
2019-06-29T01:19:26.000Z,1433569,9.61
2019-06-29T01:19:26.000Z,1436746,9.6
2019-06-29T01:14:59.000Z,305289,3.08
2019-06-29T01:03:25.000Z,1624888,1.23
2019-06-29T01:02:02.000Z,1099625,0.38
2019-06-29T01:01:41.000Z,1196830,0.39
2019-06-29T00:22:40.000Z,1503746,3.1
2019-06-29T00:20:53.000Z,1143483,0.4
2019-06-29T00:20:53.000Z,1132370,0.41
2019-06-29T00:20:53.000Z,1582934,0.41
2019-06-29T00:20:53.000Z,1582918,0.41
2019-06-29T00:12:07.000Z,1624388,2.48
2019-06-29T00:01:07.000Z,1625841,1.56
2019-06-28T23:43:30.000Z,546411,2.71
2019-06-28T23:37:57.000Z,1511777,26.61
2019-06-28T23:08:41.000Z,1155555,2.01
2019-06-28T23:05:29.000Z,1245021,0.49
2019-06-28T23:05:10.000Z,1628834,0.47
2019-06-28T23:04:10.000Z,1255922,0.47
2019-06-28T23:03:38.000Z,1628840,0.47
2019-06-28T23:02:13.000Z,1267253,0.38
2019-06-28T22:56:42.000Z,1326839,1.52
2019-06-28T22:24:15.000Z,1416773,1.22
2019-06-28T22:16:19.000Z,1629780,1.47
2019-06-28T21:40:34.000Z,1263195,0.39
2019-06-28T21:39:14.000Z,1465718,7.72
2019-06-28T21:33:26.000Z,1107329,2.78
2019-06-28T21:25:28.000Z,1107152,2.77
2019-06-28T21:22:30.000Z,993809,0.39
2019-06-28T21:22:30.000Z,1621398,1.54
2019-06-28T21:22:30.000Z,1112923,2.46
2019-06-28T21:21:26.000Z,1583940,1.67
2019-06-28T21:21:26.000Z,1040735,0.46
2019-06-28T21:21:26.000Z,1099642,0.37
2019-06-28T21:20:21.000Z,1111587,0.39
2019-06-28T21:02:42.000Z,1631430,2.09
2019-06-28T20:59:44.000Z,1276821,1.51
2019-06-28T20:58:26.000Z,1326847,1.51
2019-06-28T20:49:08.000Z,1271495,1.5
2019-06-28T20:33:52.000Z,1540471,2.78
2019-06-28T19:47:02.000Z,1272361,1.53
2019-06-28T19:45:25.000Z,1583060,0.42
2019-06-28T19:45:17.000Z,1031098,0.93
2019-06-28T19:38:14.000Z,1063265,0.38
2019-06-28T19:05:21.000Z,1636241,6.16
2019-06-28T18:59:35.000Z,1606347,1.54
2019-06-28T18:51:17.000Z,983102,0.39
2019-06-28T18:29:51.000Z,1288743,0.91
2019-06-28T18:29:04.000Z,1500961,5.55
2019-06-28T18:27:21.000Z,1379478,1.23
2019-06-28T18:06:07.000Z,1616577,3.99
2019-06-28T18:03:11.000Z,962763,0.5
