time,ID,USD,USD,time,generation,color,is_fancy,is_exclusive,fancy_type,is_prestige,prestige_type,prestige_ranking,fancy_ranking,prestige_time_limit,enhanced_cattributes_eyes,enhanced_cattributes_pattern,enhanced_cattributes_body,enhanced_cattributes_mouth,enhanced_cattributes_colorprimary,enhanced_cattributes_colorsecondary,enhanced_cattributes_colortertiary,enhanced_cattributes_coloreyes,status_cooldown_index,status_is_ready,status_is_gestating,purrs_count,purrs_is_purred
chestnut,1011193,3,3,chestnut,False,False,,False,,,,,totesbasic,happygokitty,birman,swarley,unicorn,greymatter,royalpurple,frosting,1,True,False,0,False,0,False
doridnudibranch,1225107,4,4,doridnudibranch,False,False,,False,,,,,happygokitty,amur,slyboots,alicorn,pixiebob,shadowgrey,lemonade,kalahari,2,True,False,2,False,0,False
kaleidoscope,1477134,11,11,kaleidoscope,True,False,Page,False,,,2897,,,,,,,,,,5,True,False,0,False,0,False
thundergrey,1497505,6,6,thundergrey,False,False,,False,,,,,chantilly,wiley,rorschach,hyacinth,fangtastic,coffee,purplehaze,thundergrey,3,True,False,0,False,0,False
palejade,1499181,3,3,palejade,False,False,,False,,,,,ganado,savannah,asif,foghornpawhorn,fangtastic,greymatter,padparadscha,shale,1,True,False,0,False,0,False
thundergrey,1426917,7,7,thundergrey,False,False,,False,,,,,spock,stunned,savannah,wuvme,cottoncandy,chocolate,morningglory,thundergrey,4,True,False,0,False,0,False
cyan,1364360,1,1,cyan,False,False,,False,,,,,confuzzled,vigilante,asif,siberian,cottoncandy,coffee,icy,cyan,0,True,False,1,False,0,False
dahlia,1496632,4,4,dahlia,False,False,,False,,,,,pouty,chantilly,wiley,rorschach,unicorn,bananacream,skyblue,kalahari,2,True,False,1,False,0,False
olive,1296012,10,10,olive,False,False,,True,holidaycheer,391,,2019-01-08T08:00:00Z,olive,beard,amur,elk,asif,bobtail,cottoncandy,royalpurple,5,True,False,4,False,0,False
gold,1488329,24,24,gold,False,False,,False,,,,,pouty,ragdoll,caffeine,rorschach,bananacream,scarlet,cashewmilk,gold,12,True,False,1,False,0,False
thundergrey,1427868,7,7,thundergrey,False,False,,False,,,,,selkirk,happygokitty,amur,wiley,brownies,egyptiankohl,daffodil,thundergrey,4,True,False,0,False,0,False
strawberry,1347629,4,4,strawberry,False,False,,False,,,,,selkirk,confuzzled,slyboots,leopard,nachocheez,coffee,belleblue,strawberry,2,True,False,1,False,0,False
thundergrey,1476985,6,6,thundergrey,False,False,,False,,,,,crazy,happygokitty,rascal,kurilian,finalfrontier,cloudwhite,swampgreen,icy,3,True,False,1,False,0,False
thundergrey,1479760,6,6,thundergrey,False,False,,False,,,,,crazy,happygokitty,camo,kurilian,finalfrontier,cloudwhite,chocolate,icy,3,True,False,1,False,0,False
sapphire,1470780,4,4,sapphire,False,False,,False,,,,,sass,ganado,lykoi,struck,dragonfruit,apricot,frosting,sapphire,2,True,False,0,False,0,False
doridnudibranch,1254458,9,9,doridnudibranch,True,False,DracoJunior,False,,,783,,,,,,,,,,4,True,False,0,False,0,False
topaz,1487864,17,17,topaz,False,False,,False,,,,,saycheese,wonky,norwegianforest,tiger,shamrock,finalfrontier,lemonade,purplehaze,8,True,False,1,False,0,False
bridesmaid,1279939,2,2,bridesmaid,False,False,,False,,,,,totesbasic,grim,birman,asif,bridesmaid,shadowgrey,violet,cashewmilk,1,True,False,1,False,0,False
parakeet,1478461,6,6,parakeet,False,False,,False,,,,,grim,birman,baddate,rascal,shamrock,chocolate,kittencream,parakeet,3,True,False,0,False,0,False
cyan,1484779,3,3,cyan,False,False,,False,,,,,selkirk,soserious,spangled,wonky,bananacream,royalpurple,icy,cyan,1,True,False,0,False,0,False
dahlia,1038115,6,6,dahlia,False,False,,True,prune,295,,2018-10-01T07:00:00Z,totesbasic,pouty,chronic,norwegianforest,prune,bananacream,swampgreen,shale,3,True,False,0,False,0,False
thundergrey,1037371,6,6,thundergrey,False,False,,True,prune,280,,2018-10-01T07:00:00Z,totesbasic,pouty,norwegianforest,prune,wiley,cottoncandy,scarlet,shale,3,True,False,0,False,0,False
dahlia,1037170,6,6,dahlia,False,False,,True,prune,276,,2018-10-01T07:00:00Z,totesbasic,pouty,norwegianforest,prune,wiley,cottoncandy,skyblue,frosting,3,True,False,1,False,0,False
thundergrey,1037096,6,6,thundergrey,False,False,,True,prune,275,,2018-10-01T07:00:00Z,totesbasic,pouty,chronic,norwegianforest,prune,greymatter,scarlet,shale,3,True,False,2,False,0,False
strawberry,1035572,1,1,strawberry,False,False,,False,,,,,sphynx,thicccbrowz,amur,grimace,oldlace,lemonade,sandalwood,strawberry,0,True,False,1,False,0,False
thundergrey,1423713,6,6,thundergrey,False,False,,False,,,,,selkirk,gerbil,spangled,swarley,brownies,lilac,daffodil,thundergrey,4,True,False,0,False,0,False
parakeet,1467808,1,1,parakeet,False,False,,False,,,,,thicccbrowz,ragdoll,rorschach,impish,brownies,royalpurple,purplehaze,parakeet,0,True,False,0,False,0,False
parakeet,1298746,3,3,parakeet,False,False,,False,,,,,thicccbrowz,camo,pixiebob,rollercoaster,mauveover,butterscotch,frosting,parakeet,1,True,False,0,False,0,False
sapphire,1310176,4,4,sapphire,False,False,,False,,,,,soserious,amur,chantilly,wonky,brownies,barkbrown,purplehaze,sapphire,2,True,False,0,False,0,False
bubblegum,1042953,24,24,bubblegum,False,False,,True,prune,363,,2018-10-01T07:00:00Z,totesbasic,grim,norwegianforest,prune,wiley,shadowgrey,safetyvest,morningglory,13,True,False,0,False,0,False
mintgreen,1054294,22,22,mintgreen,False,False,,True,prune,563,,2018-10-01T07:00:00Z,totesbasic,norwegianforest,prune,wiley,belch,cloudwhite,lemonade,periwinkle,13,True,False,0,False,0,False
thundergrey,1471255,7,7,thundergrey,False,False,,False,,,,,confuzzled,thicccbrowz,spock,koladiviya,unicorn,cottoncandy,egyptiankohl,cashewmilk,3,True,False,0,False,0,False
thundergrey,458010,13,13,thundergrey,True,False,Squib,False,,,1047,,,,,,,,,,9,True,False,0,False,0,False
cyan,1372193,1,1,cyan,False,False,,False,,,,,tongue,chantilly,asif,tiger,tundra,lemonade,cashewmilk,cyan,0,True,False,2,False,0,False
dahlia,1016602,12,12,dahlia,False,False,,False,,,,,confuzzled,ragdoll,wonky,mittens,flapflap,cinderella,royalpurple,sandalwood,8,True,False,0,False,0,False
dahlia,1424436,3,3,dahlia,True,False,Dreggo,False,,,3325,,,,,,,,,,4,True,False,0,False,0,False
sapphire,1262785,5,5,sapphire,False,False,,False,,,,,confuzzled,chantilly,rascal,swarley,shamrock,swampgreen,belleblue,sapphire,2,True,False,0,False,0,False
topaz,1460749,9,9,topaz,False,False,,False,,,,,ragamuffin,topaz,wingtips,calicool,saycheese,shadowgrey,royalpurple,kittencream,13,True,False,0,False,0,False
sapphire,185856,2,2,sapphire,False,False,,False,,,,,munchkin,crazy,luckystripe,pouty,sapphire,cottoncandy,coffee,azaleablush,1,True,False,1,False,0,False
topaz,615358,9,9,topaz,True,False,DuCat,False,,,3906,,,,,,,,,,6,True,False,1,False,0,False
mintgreen,262411,8,8,mintgreen,False,False,,True,thatsawrap,489,,2018-11-07T07:59:59Z,soserious,chronic,bobtail,rascal,shadowgrey,egyptiankohl,purplehaze,mintgreen,5,True,False,0,False,0,False
chestnut,1154049,9,9,chestnut,False,False,,True,thatsawrap,360,,2018-11-07T07:59:59Z,camo,bobtail,chameleon,rollercoaster,aquamarine,springcrocus,belleblue,chestnut,4,True,False,0,False,0,False
gold,1145449,16,16,gold,False,False,,False,,,,,sphynx,fabulous,spock,fangtastic,orangesoda,cerulian,kittencream,gold,9,True,False,0,False,0,False
forgetmenot,1420482,6,6,forgetmenot,False,False,,False,,,,,thicccbrowz,happygokitty,highsociety,kurilian,martian,lilac,emeraldgreen,forgetmenot,13,True,False,2,False,0,False
